,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
784,N Krishna,2024-2024,5,4,2,15,10,7.50,57.69,0,0,1,4,63,0,122,5,2/22,24.40,11.61,12.6,0,0,0,0
785,N Mugabe,2024-2024,17,17,2,373,71,24.86,110.02,0,2,3,2,36,0,60,0,0,0.00,10.00,0,0,0,1,0
786,NA Greenwood,2024-2024,9,9,1,265,85*,33.12,144.80,0,2,0,8,162,0,140,9,3/8,15.55,5.18,18.0,0,0,3,0
787,ND Laegsgaard,2024-2024,6,6,3,98,62,32.66,155.55,0,1,2,6,102,0,123,2,1/19,61.50,7.23,51.0,0,0,2,0
788,NK Aneesh Kumar,2024-2024,4,2,0,2,2,1.00,28.57,0,0,1,4,83,0,77,5,2/19,15.40,5.56,16.6,0,0,4,0
789,NP Kenjige,2024-2024,21,8,3,10,6*,2.00,47.61,0,0,3,20,376,0,495,19,3/21,26.05,7.89,19.7,0,0,4,0
790,NR Kirton,2024-2024,15,15,1,391,69*,27.92,121.42,0,2,0,3,24,0,54,1,1/14,54.00,13.50,24.0,0,0,5,0
791,NR Kumar,2024-2024,18,16,2,277,64,19.78,119.91,0,1,1,2,24,0,24,1,1/13,24.00,6.00,24.0,0,0,10,0
792,NRJ Croes,2024-2024,9,7,3,120,33*,30.00,129.03,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,7,0
793,NS Dhaliwal,2024-2024,9,9,0,113,61,12.55,94.16,0,1,2,0,0,0,0,0,0,0.00,0,0,0,0,3,0
794,NT Ellis,2024-2024,7,2,2,12,11*,0.00,63.15,0,0,0,7,130,1,140,9,3/9,15.55,6.46,14.4,0,0,2,0
795,Najibullah Zadran,2024-2024,11,10,3,106,28*,15.14,121.83,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,1,0
796,Najjam Shahzad,2024-2024,5,5,1,36,21*,9.00,109.09,0,0,2,4,78,0,82,4,2/11,20.50,6.30,19.5,0,0,6,0
797,Namgay Thinley,2024-2024,12,11,3,54,15,6.75,61.36,0,0,2,11,228,0,237,6,3/14,39.50,6.23,38.0,0,0,3,0
798,O Duff,2024-2024,2,1,0,3,3,3.00,300.00,0,0,0,2,16,0,28,2,2/17,14.00,10.50,8.0,0,0,0,0
